ticker,last,prevClose,volume,avgVol,currency,last_eur,prevClose_eur,as_of
MC.PA,499.1000061035156,521.2999877929688,595875,647828,EUR,499.1000061035156,521.2999877929688,2025-09-04T20:34:27.298380Z
MCD,316.989990234375,316.4,2308833,3035750,USD,271.9773949560665,271.4711833659901,2025-09-04T20:34:27.298380Z
MCHP,64.43000030517578,63.02,10599800,8766180,USD,55.2809368745802,54.071156686866935,2025-09-04T20:34:27.298380Z
MDB,322.04998779296875,311.5,2723163,5989140,USD,276.3188725953221,267.2669836235965,2025-09-04T20:34:27.298380Z
MELI,2417.800048828125,2370.0,270371,308610,USD,2074.472314784197,2033.4598754026442,2025-09-04T20:34:27.298380Z
META,748.6500244140625,736.49,11297314,8775430,USD,642.3416815886945,631.9083812807145,2025-09-04T20:34:27.298380Z
MPWR,848.1099853515625,827.2,396797,470050,USD,727.6783228441884,709.7375565118427,2025-09-04T20:34:27.298380Z
MRK,84.05000305175781,84.29,9889842,11855490,USD,72.11489819967059,72.3208155686451,2025-09-04T20:34:27.298380Z
MS,150.52999877929688,148.57,3316998,4222440,USD,129.15473103886464,127.47305218927039,2025-09-04T20:34:27.298380Z
MSFT,507.9700012207031,503.02,15336387,21369300,USD,435.8382343419966,431.59113355486835,2025-09-04T20:34:27.298380Z
MU,124.20999908447266,118.64,17908176,15455930,USD,106.57217268441954,101.79311376277202,2025-09-04T20:34:27.298380Z
NESN.SW,75.88999938964844,74.69999694824219,4965105,3598629,CHF,75.88999938964844,74.69999694824219,2025-09-04T20:34:27.298380Z
NET,209.97999572753906,206.61,1558376,2080930,USD,180.16282529500816,177.2713691379495,2025-09-04T20:34:27.298380Z
NOC,579.760009765625,580.67,409630,610320,USD,497.4340578993433,498.21482947259636,2025-09-04T20:34:27.298380Z
NOW,898.5599975585938,915.0,1491539,1644160,USD,770.9644306655267,785.0699518959576,2025-09-04T20:34:27.298380Z
NTES,133.13999938964844,133.5,457739,750010,USD,114.23411247678592,114.54299298154135,2025-09-04T20:34:27.298380Z
NVDA,171.66000366210938,170.395,131814882,201582840,USD,147.28427411745585,146.1989010418707,2025-09-04T20:34:27.298380Z
NVO,56.13999938964844,56.7,8301942,12505680,USD,48.16811652488567,48.648597019126555,2025-09-04T20:34:27.298380Z
NXPI,225.38999938964844,228.0,2912303,2256060,USD,193.38460762695215,195.62398801341894,2025-09-04T20:34:27.298380Z
OKTA,89.73999786376953,89.25,2870717,6470700,USD,76.99691344923812,76.57649530788439,2025-09-04T20:34:27.298380Z
ON,48.060001373291016,47.79,6342357,7373380,USD,41.2354786516385,41.00381748754952,2025-09-04T20:34:27.298380Z
OR.PA,404.3999938964844,399.70001220703125,272239,232508,EUR,404.3999938964844,399.70001220703125,2025-09-04T20:34:27.298380Z
ORCL,223.0,222.91,10077253,9642730,USD,191.33398827628255,191.2567682810141,2025-09-04T20:34:27.298380Z
PANW,192.35000610351562,191.051,5813412,7256790,USD,165.03629512445264,163.9217479559285,2025-09-04T20:34:27.298380Z
PDD,123.87000274658203,124.21,7781773,13052330,USD,106.28045584438392,106.57217346994194,2025-09-04T20:34:27.298380Z
PEP,146.88999938964844,148.85,6284757,9495400,USD,126.03161175391097,127.71329217455003,2025-09-04T20:34:27.298380Z
PFE,24.540000915527344,24.8,38423319,37522220,USD,21.055319495387767,21.278398696196447,2025-09-04T20:34:27.298380Z
PG,159.19000244140625,158.0,5328237,5983780,USD,136.58501372567451,135.56399169350962,2025-09-04T20:34:27.298380Z
PLTR,156.13999938964844,154.8,52799425,90159130,USD,133.96811126761327,132.81839186174233,2025-09-04T20:34:27.298380Z
PYPL,68.45999908447266,69.5815,14042725,8721490,USD,58.7386756153489,59.700923341911015,2025-09-04T20:34:27.298380Z
